Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004201,78.4,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004202,76.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004203,77.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004300,75.3,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004401,76,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004402,75.3,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004501,75.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004502,74.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004601,76.2,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004602,75.4,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004701,76.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004702,73.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004801,77.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004802,76.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004903,75.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004904,80.3,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004905,79.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067004906,75.4,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005001,79.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005002,72.4,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005101,76.6,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005102,76.8,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005204,82.2,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005205,78.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005301,68,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005402,76.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005403,85.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005404,81.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005502,76.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005505,76.2,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005506,76.8,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005508,73.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005509,76.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005510,79.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005601,74.8,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005605,77.6,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005606,77.9,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005701,78.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005702,83.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005801,80.4,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005803,81.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005804,77.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005901,78.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005903,74.8,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067005904,76.3,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006002,77.3,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006003,77.4,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006004,80.6,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006101,74.5,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006102,78.4,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006201,75.8,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006202,69.3,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006300,76.3,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006400,70.9,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006500,72,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006600,75.3,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006701,75.2,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006702,72.9,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006800,75,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067006900,72.3,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007001,75.2,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007004,75.6,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007007,77.7,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007010,80.8,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007012,79.2,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007013,79.6,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007014,77.9,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007015,81.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007016,80.9,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007017,81.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007018,78.1,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
Life Expectancy,This indicator shows the life expectancy at birth in years. This represents the average number of years a person can expect to live.,Census Tract,6067007020,82.9,years,,,No,2010-2015,U.S. Small-Area Life Expectancy Estimates Project (USALEEP),,,,,,,,,,
